Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Publisher
05/19/2020,891,27,78,212,174,148,128,83,39,28,1,450,435,6,419,11,137,72,42,210,0,1,1,3,6,5,6,5,0,8,19,0,10,2,11,3,0,1,City of Chicago
03/30/2020,441,12,6,54,79,80,82,61,43,36,0,219,222,0,84,12,210,75,18,42,0,0,1,1,2,2,5,1,0,4,8,0,3,1,6,2,0,0,City of Chicago
07/27/2020,58,0,7,14,14,9,5,3,3,3,0,32,26,0,14,6,10,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
07/17/2020,291,3,34,88,57,42,31,21,13,5,0,159,130,2,122,6,70,47,7,39,0,0,0,0,2,0,0,1,0,1,2,0,2,0,1,0,0,0,City of Chicago
05/17/2020,326,41,17,54,57,37,65,44,22,30,0,156,168,2,138,7,70,30,13,68,0,0,1,1,3,14,9,13,0,16,25,0,18,2,13,7,1,0,City of Chicago
04/24/2020,1080,53,30,182,171,185,189,159,74,90,0,497,535,48,419,29,222,148,57,205,0,1,2,0,6,12,15,17,0,19,34,0,14,2,21,15,1,0,City of Chicago
07/23/2020,248,0,25,84,51,37,26,13,8,4,0,149,98,1,53,10,58,51,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City of Chicago
05/26/2020,747,23,61,161,130,135,125,75,39,21,0,391,348,8,354,14,110,58,36,175,0,0,0,0,2,8,9,4,0,8,15,0,7,1,12,3,0,0,City of Chicago
03/22/2020,169,2,6,23,28,31,37,24,14,6,0,75,94,0,22,6,82,48,8,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,City of Chicago
06/18/2020,182,14,24,42,34,29,29,9,5,10,0,93,85,4,82,3,30,25,3,39,0,0,1,1,0,5,4,3,0,7,7,0,6,0,7,1,0,0,City of Chicago
06/24/2020,243,9,22,76,56,28,34,11,8,8,0,142,99,2,79,6,51,37,10,60,0,0,0,0,3,4,1,1,0,5,4,0,6,0,3,0,0,0,City of Chicago
07/15/2020,257,6,31,76,47,34,35,16,12,6,0,142,114,1,91,4,80,35,9,38,0,0,0,0,1,2,1,2,0,3,3,0,1,0,5,0,0,0,City of Chicago
06/14/2020,92,12,6,23,18,18,15,6,2,4,0,44,48,0,28,1,24,5,6,28,0,0,0,1,1,3,2,5,0,6,6,0,5,0,2,4,0,1,City of Chicago
07/19/2020,97,2,14,25,21,11,13,5,6,2,0,50,46,1,25,2,27,16,3,24,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,City of Chicago
05/16/2020,510,29,35,106,87,92,76,59,34,21,0,277,227,6,201,11,94,51,16,137,0,0,1,3,0,6,5,14,0,9,20,0,9,1,13,6,0,0,City of Chicago
05/14/2020,778,45,48,167,154,131,109,96,44,29,0,399,367,12,329,13,160,74,31,171,1,0,4,1,5,5,7,22,0,22,23,0,13,4,21,6,1,0,City of Chicago
05/01/2020,1172,40,58,224,222,203,194,134,69,68,0,618,524,30,535,26,190,108,46,267,0,1,0,1,5,12,8,13,0,14,26,0,12,1,16,10,0,1,City of Chicago
04/27/2020,1158,35,42,234,203,231,205,125,54,64,0,573,553,32,516,24,198,106,62,252,0,0,0,1,3,4,14,13,0,11,24,0,8,1,19,7,0,0,City of Chicago
04/11/2020,396,34,7,53,71,65,82,55,37,26,0,183,212,1,101,17,143,53,15,67,0,0,1,2,6,7,10,8,0,16,18,0,8,2,22,2,0,0,City of Chicago
05/10/2020,308,39,17,59,53,65,42,41,14,17,0,140,167,1,123,7,64,38,14,62,0,0,1,3,2,11,8,14,0,15,24,0,15,1,15,7,1,0,City of Chicago
07/02/2020,254,5,24,81,43,39,27,22,10,8,0,141,111,2,78,6,60,49,7,54,0,0,0,0,0,1,1,3,0,3,2,0,3,0,1,1,0,0,City of Chicago
04/28/2020,1319,56,67,247,232,253,248,156,64,52,0,620,671,28,575,16,239,103,84,302,0,0,0,3,5,9,10,29,0,23,33,0,13,5,26,12,0,0,City of Chicago
